Quarter,GDP_m,CPI_index_2015,WeightedPolicyRate,Year,Quarter_Num,Inflation,GDP_log_change,PolicyRate_diff
1988Q2,136630.0,48.0,7.973901098901099,1988,2,0.020344440717232626,0.024801855181586063,-0.6483516483516469
1988Q3,140801.0,48.46666666666667,10.896739130434783,1988,3,0.00967526552341802,0.030071003621051418,2.9228380315336837
1988Q4,144969.0,49.2,12.277173913043478,1988,4,0.015017347066953235,0.02917238048867432,1.3804347826086953
1989Q1,148623.0,49.73333333333333,12.875,1989,1,0.010781775603288413,0.024892971773990524,0.5978260869565215
1989Q2,151262.0,50.8,13.23076923076923,1989,2,0.021220955482885273,0.01760053437265441,0.35576923076922995
1989Q3,155370.0,51.2,13.75951304347826,1989,3,0.00784317746102614,0.026795936497142847,0.5287438127090294
1989Q4,159376.0,52.06666666666666,14.813858695652174,1989,4,0.01678541669201339,0.025456821298899257,1.0543456521739145
1990Q1,163056.0,52.8,14.875,1990,1,0.013986241974740299,0.022827509683528646,0.061141304347826164
1990Q2,166719.0,54.86666666666667,14.875,1990,2,0.038394808862644236,0.022216060380062075,0.0
1990Q3,170068.0,55.70000000000001,14.875,1990,3,0.015074147358378198,0.01988859660518827,0.0
1990Q4,170954.0,56.86666666666667,13.951086956521738,1990,4,0.020729199456230418,0.0051961573945558115,-0.9239130434782616
1991Q1,173192.0,57.23333333333333,13.375,1991,1,0.006427132845851169,0.013006291218985666,-0.5760869565217384
1991Q2,175822.0,59.13333333333333,11.726648351648352,1991,2,0.032658301972049664,0.015071313943368025,-1.6483516483516478
1991Q3,177280.0,59.76666666666667,10.78804347826087,1991,3,0.010653310735608379,0.008258283930421939,-0.938604873387483
1991Q4,179590.0,60.53333333333333,10.375,1991,4,0.012746085556105236,0.012946071471725773,-0.4130434782608692
1992Q1,181438.0,60.8,10.375,1992,1,0.00439561147303813,0.01023752252029908,0.0
1992Q2,181889.0,62.06666666666666,10.061813186813186,1992,2,0.020619287202735315,0.002482613357333463,-0.31318681318681385
1992Q3,182558.0,62.13333333333333,9.777173913043478,1992,3,0.0010735374085246718,0.003671319843110865,-0.28463927376970766
1992Q4,184989.0,62.53333333333333,7.505434782608695,1992,4,0.006417134320633622,0.013228433099692793,-2.271739130434783
1993Q1,189580.0,62.7,6.152777777777778,1993,1,0.002661699734860079,0.024514735173813307,-1.3526570048309177
1993Q2,189802.0,63.53333333333333,5.875,1993,2,0.013203254913117135,0.0011703245032119725,-0.2777777777777777
1993Q3,193552.0,63.7,5.875,1993,3,0.0026198600261251315,0.01956478668938466,0.0
1993Q4,196921.0,63.93333333333334,5.663043478260869,1993,4,0.003656311203110718,0.017256422863960452,-0.21195652173913082
1994Q1,199796.0,64.2,5.230555555555555,1994,1,0.004162336914687259,0.014494212912577353,-0.432487922705314
1994Q2,200691.0,65.03333333333333,5.125,1994,2,0.012896748265040614,0.004469565753456806,-0.10555555555555518
1994Q3,203292.0,65.0,5.228260869565218,1994,3,-0.0005126890653190941,0.01287695739932282,0.10326086956521774
1994Q4,207015.0,65.26666666666667,5.760869565217392,1994,4,0.004094171532663893,0.018147885261303287,0.5326086956521738
1995Q1,208657.0,65.73333333333333,6.447222222222222,1995,1,0.00712471207212495,0.007900501072205302,0.6863526570048304
1995Q2,210748.0,66.63333333333334,6.625,1995,2,0.013598799337819045,0.009971351439654441,0.17777777777777803
1995Q3,214616.0,66.89999999999999,6.625,1995,3,0.003994014295938264,0.018187277813304092,0.0
1995Q4,217824.0,67.23333333333333,6.573369565217392,1995,4,0.004970189157873506,0.014837012532264993,-0.051630434782608425
1996Q1,221433.0,67.66666666666667,6.122252747252747,1996,1,0.00642453408162158,0.01643266339243965,-0.4511168179646443
1996Q2,226187.0,68.53333333333333,5.868818681318682,1996,2,0.012726554539222334,0.021242030108135523,-0.2534340659340657
1996Q3,229912.0,68.66666666666667,5.6875,1996,3,0.001943635208570882,0.01633453624804382,-0.18131868131868156
1996Q4,232461.0,69.23333333333333,5.858695652173913,1996,4,0.008218562092485726,0.011025842007514441,0.17119565217391308
1997Q1,232749.0,69.3,5.9375,1997,1,0.0009624639819003633,0.0012381506708472045,0.07880434782608692
1997Q2,235998.0,69.93333333333334,6.198489010989011,1997,2,0.009097501098230154,0.0138627107209075,0.26098901098901095
1997Q3,243388.0,70.26666666666667,6.875,1997,3,0.00475512070500983,0.03083354736341981,0.676510989010989
1997Q4,241270.0,70.63333333333333,7.1521739130434785,1997,4,0.0052046486070462805,-0.008740239439493536,0.2771739130434785
1998Q1,245958.0,70.60000000000001,7.25,1998,1,-0.00047203210694668485,0.019244151311372804,0.09782608695652151
1998Q2,248081.0,71.36666666666667,7.324175824175824,1998,2,0.010800762428330835,0.008594516093095805,0.07417582417582391
1998Q3,250560.0,71.43333333333334,7.5,1998,3,0.0009337068838943807,0.009943107060614409,0.1758241758241761
1998Q4,253902.0,71.83333333333333,6.8396739130434785,1998,4,0.005584007064270757,0.01324995299414411,-0.6603260869565215
1999Q1,255903.0,72.0,5.705555555555556,1999,1,0.0023174981403624173,0.00785010062986835,-1.1341183574879228
1999Q2,258404.0,72.7,5.211538461538462,1999,2,0.00967526552341802,0.009725785238344997,-0.49401709401709404
1999Q3,261604.0,72.60000000000001,5.0625,1999,3,-0.0013764627087224923,0.012307658321226711,-0.14903846153846168
1999Q4,267337.0,72.93333333333334,5.407608695652174,1999,4,0.004580860048966073,0.021678124829046297,0.34510869565217384
2000Q1,272305.0,72.8,5.857142857142857,2000,1,-0.0018298266770768734,0.01841272679668826,0.4495341614906829
2000Q2,273916.0,73.46666666666665,6.0,2000,2,0.0091158334080097,0.0058987284312603805,0.14285714285714324
2000Q3,276174.0,73.46666666666665,6.0,2000,3,0.0,0.008209611816216267,0.0
2000Q4,278357.0,73.93333333333334,6.0,2000,4,0.006331997637507136,0.00787336064879085,0.0
2001Q1,282889.0,73.7,5.855555555555555,2001,1,-0.0031609870528654938,0.01615013204600757,-0.14444444444444482
2001Q2,286728.0,74.76666666666667,5.368131868131868,2001,2,0.014369353662761597,0.013479436628999864,-0.48742368742368747
2001Q3,288166.0,74.76666666666667,5.051630434782608,2001,3,0.0,0.005002671793528535,-0.3165014333492593
2001Q4,288352.0,74.93333333333334,4.2146739130434785,2001,4,0.0022266764933736027,0.000645253076065444,-0.8369565217391299
2002Q1,292486.0,75.0,4.0,2002,1,0.0008892841848835431,0.01423484622593918,-0.2146739130434785
2002Q2,295516.0,75.73333333333333,4.0,2002,2,0.009730284642576414,0.010306178617845774,0.0
2002Q3,299230.0,75.8,4.0,2002,3,0.0008798944694392574,0.012489527557152158,0.0
2002Q4,304207.0,76.16666666666667,4.0,2002,4,0.004825629017823907,0.01649588228373311,0.0
2003Q1,307485.0,76.13333333333334,3.85,2003,1,-0.00043773255240431297,0.010717914831664288,-0.1499999999999999
2003Q2,312948.0,76.76666666666667,3.75,2003,2,0.008284329044784045,0.01761073698407678,-0.10000000000000009
2003Q3,317463.0,76.8,3.5244565217391304,2003,3,0.0004341219950969588,0.014324233555857546,-0.22554347826086962
2003Q4,320438.0,77.16666666666667,3.652173913043478,2003,4,0.004762944704553185,0.00932753380049256,0.12771739130434767
