Quarter,GDP_m,CPI_index_2015,WeightedPolicyRate,Inflation,GDP_log_change,Year,Quarter_Num
1988Q3,140801.0,48.46666666666667,10.896739130434783,0.00967526552341802,0.030071003621051418,1988,3
1988Q4,144969.0,49.199999999999996,12.277173913043478,0.015017347066953235,0.02917238048867432,1988,4
1989Q1,148623.0,49.73333333333333,12.875,0.010781775603288413,0.024892971773990524,1989,1
1989Q2,151262.0,50.800000000000004,13.23076923076923,0.021220955482885273,0.01760053437265441,1989,2
1989Q3,155370.0,51.199999999999996,13.75951304347826,0.00784317746102614,0.026795936497142847,1989,3
1989Q4,159376.0,52.06666666666666,14.813858695652174,0.01678541669201339,0.025456821298899257,1989,4
1990Q1,163056.0,52.800000000000004,14.875,0.013986241974740299,0.022827509683528646,1990,1
1990Q2,166719.0,54.86666666666667,14.875,0.038394808862644236,0.022216060380062075,1990,2
1990Q3,170068.0,55.70000000000001,14.875,0.015074147358378198,0.01988859660518827,1990,3
1990Q4,170954.0,56.86666666666667,13.951086956521738,0.020729199456230418,0.0051961573945558115,1990,4
1991Q1,173192.0,57.23333333333333,13.375,0.006427132845851169,0.013006291218985666,1991,1
1991Q2,175822.0,59.13333333333333,11.726648351648352,0.032658301972049664,0.015071313943368025,1991,2
1991Q3,177280.0,59.76666666666667,10.78804347826087,0.010653310735608379,0.008258283930421939,1991,3
1991Q4,179590.0,60.53333333333333,10.375,0.012746085556105236,0.012946071471725773,1991,4
1992Q1,181438.0,60.800000000000004,10.375,0.00439561147303813,0.01023752252029908,1992,1
1992Q2,181889.0,62.06666666666666,10.061813186813186,0.020619287202735315,0.002482613357333463,1992,2
1992Q3,182558.0,62.13333333333333,9.777173913043478,0.0010735374085246718,0.003671319843110865,1992,3
1992Q4,184989.0,62.53333333333333,7.505434782608695,0.006417134320633622,0.013228433099692793,1992,4
1993Q1,189580.0,62.699999999999996,6.152777777777778,0.002661699734860079,0.024514735173813307,1993,1
1993Q2,189802.0,63.53333333333333,5.875,0.013203254913117135,0.0011703245032119725,1993,2
